Zip,Year,MedianValue
21209,2022,398796.9901140978
21209,2023,412362.85004347935
21209,2024,424447.6252880526
21209,2025,434643.01691143925
21219,2000,144556.3198547717
21219,2001,147364.00561326192
21219,2002,155135.22221478182
21219,2003,174638.12333936413
21219,2004,197630.170339284
21219,2005,238788.5176932124
21219,2006,290826.5439984774
21219,2007,308799.52418877976
21219,2008,293883.91374878446
21219,2009,258062.69551409705
21219,2010,248621.261064742
21219,2011,226508.7646629598
21219,2012,220693.89051493016
21219,2013,224015.5254769186
21219,2014,232386.95561381787
21219,2015,238669.66533549025
21219,2016,246077.6738711213
21219,2017,253451.26859794467
21219,2018,263528.03990186506
21219,2019,274615.4556782769
21219,2020,285632.9249553948
21219,2021,321902.3254809397
21219,2022,345250.28872441256
21219,2023,356499.325623736
21219,2024,362185.16575821966
21219,2025,376965.84180045896
21220,2000,126468.76163204057
21220,2001,131095.9054982923
21220,2002,136677.32571022626
21220,2003,149464.3307993863
21220,2004,172051.05561943597
21220,2005,204921.16357355128
21220,2006,248895.765675715
21220,2007,261483.10367220908
21220,2008,260021.03474139824
21220,2009,235375.55701038265
21220,2010,223164.65142502182
21220,2011,200698.68176452984
21220,2012,195086.6733323998
21220,2013,197588.484836263
21220,2014,207335.25854898684
21220,2015,208466.3410330547
21220,2016,213326.62390564056
21220,2017,218802.8870121263
21220,2018,227842.45052904566
21220,2019,240714.66536691316
21220,2020,247762.24211630077
21220,2021,283244.24146608013
21220,2022,303795.5936698372
21220,2023,312654.75283100415
21220,2024,318281.7604211271
21220,2025,325902.0863897027
21221,2000,120808.38855256274
21221,2001,124522.05100983375
21221,2002,127747.9763001391
21221,2003,141167.39673863552
21221,2004,162813.827727344
21221,2005,191497.7459928111
21221,2006,234903.7128346726
21221,2007,245181.05426567688
21221,2008,239809.43698269041
21221,2009,216450.33589458652
21221,2010,206000.61708783847
21221,2011,181444.8713677607
21221,2012,174342.8043089073
21221,2013,174549.6854496273
21221,2014,180454.8402072491
21221,2015,181437.9228737725
21221,2016,185796.32510124956
21221,2017,192140.7132692173
21221,2018,200001.80151168263
21221,2019,211833.15821090346
21221,2020,217930.6678224143
21221,2021,253524.60662409957
21221,2022,269322.0457226804
21221,2023,273768.87687502336
21221,2024,282354.6523532537
21221,2025,288607.3081481864
21222,2000,97574.41012274384
21222,2001,98398.0941131303
21222,2002,101623.32241661106
21222,2003,108851.86553915014
21222,2004,120623.05416602948
21222,2005,140225.60669862412
21222,2006,174080.31071680383
21222,2007,189665.16054037015
21222,2008,183142.77244473793
21222,2009,165859.90892090433
21222,2010,158725.68972169183
21222,2011,135421.30033768734
21222,2012,129328.8341716742
21222,2013,128020.46004886733
21222,2014,132173.2887593547
21222,2015,134483.15083967027
21222,2016,136352.4779898572
21222,2017,141405.28154200473
21222,2018,151213.8473144094
21222,2019,160422.3987330801
21222,2020,164698.36976366933
21222,2021,188045.56674579656
21222,2022,207961.0141401415
21222,2023,212182.44210585376
21222,2024,222748.70029475418
21222,2025,225453.24839912483
21227,2000,104257.03855368965
21227,2001,109079.51122992588
21227,2002,116696.80021984216
21227,2003,126766.16701687619
21227,2004,148110.6786549131
21227,2005,186763.66002670335
21227,2006,220046.50867374087
21227,2007,233186.8052069349
21227,2008,228870.93885684782
21227,2009,207563.7633177752
21227,2010,200467.96481565916
21227,2011,180914.0170457912
21227,2012,176833.47330385193
21227,2013,183312.46900410697
21227,2014,187485.7355067918
21227,2015,191110.2305109069
21227,2016,192794.79202477
21227,2017,200986.90330257223
21227,2018,208415.86186969455
21227,2019,222266.77748995775
21227,2020,229918.36823698785
21227,2021,254646.56591608195
21227,2022,271755.0416510279
21227,2023,280207.75721109123
21227,2024,289806.940552587
21227,2025,299992.1806353676
21228,2000,145317.03874349242
21228,2001,152279.13062914106
21228,2002,166963.12739619653
21228,2003,190185.96764626185
21228,2004,223367.35305202033
21228,2005,279722.56464544445
21228,2006,324347.22779739124
21228,2007,333046.66380680655
21228,2008,319819.08967683127
21228,2009,287109.87584188266
21228,2010,277061.6121774572
21228,2011,255535.96885453624
21228,2012,256833.57683629057
21228,2013,270653.46908056806
21228,2014,280142.66128575336
21228,2015,284133.40508099843
21228,2016,290699.10720608965
21228,2017,299580.7514299976
21228,2018,308427.7241216729
21228,2019,318638.6342461829
21228,2020,328575.57636934053
21228,2021,364585.03901786415
21228,2022,381500.3047834345
21228,2023,397341.02471152664
21228,2024,410098.11454938265
21228,2025,417457.3193504154
21234,2000,115375.82859400395
21234,2001,119530.53566686236
21234,2002,127762.50124597264
21234,2003,142163.79609459863
21234,2004,163253.46929417993
21234,2005,195915.01484125195
21234,2006,230431.3854577354
21234,2007,241439.74627244586
21234,2008,233320.88890263188
21234,2009,213944.08935262286
21234,2010,206897.36760187225
21234,2011,190115.7774416539
21234,2012,184248.73971700677
21234,2013,189778.6815071893
21234,2014,195728.69440847193
21234,2015,198271.88949195365
21234,2016,202769.0383178077
21234,2017,206961.54235186754
21234,2018,213878.66981076935
21234,2019,221820.2977573277
21234,2020,226556.85406980914
21234,2021,258151.67555618263
21234,2022,275266.6452563771
21234,2023,280543.48674329976
21234,2024,292163.6729004325
21234,2025,298379.91378484236
21236,2000,132602.96731380565
21236,2001,137223.42592244514
21236,2002,146813.5917598586
21236,2003,163428.96758843478
21236,2004,192400.71810388518
21236,2005,229511.68935292985
21236,2006,267945.5056835265
21236,2007,274520.1894608556
21236,2008,265655.3681743413
21236,2009,244957.6501834896
21236,2010,238159.4103830405
21236,2011,219229.97580473922
21236,2012,213090.82549860858
21236,2013,219403.39157492985
21236,2014,227175.27897286572
21236,2015,228617.20938401693
21236,2016,235276.47291048814
21236,2017,238653.92516102007
21236,2018,244904.21672817448
